ID,Source,Translation,AI_Reference
"OP_ST_InteractiveOptionDesc,Build_SpiderBuilder_ClearRallyPoint::3616451766",Cancel Rally Point,,
"OP_ST_InteractiveOptionDesc,MissileMotor_Res::3572318671","Decompose items within the range upon impact, converting them into resource.",,
"OP_ST_InteractiveOptionDesc,MissileMotor_Ice::4218510592","Upon impact, deal frost damage to enemies within the range and significantly increase the freezing value.",,
"OP_ST_InteractiveOptionDesc,MissileMotor_Normal::2085733569",Inflicts massive damage to enemies within the range after hitting.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Cannon_Modify_Attack::1832602964",Deploys additional turrets around your perimeter.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Cannon_Modify_Defend::3747545487",Deploys additional defenses around your perimeter.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Cannon_Damage::2961001418",Increases the damage of deployed turrets.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Cannon_Ammo::820534023",Increases Mag Size of deployed turrets.,,
"OP_ST_InteractiveOptionDesc,Build_Generator_XenCooldown::313345699",Greatly speeds up the CD of XENs currently on cooldown.,,
"OP_ST_InteractiveOptionDesc,Build_Generator_ChangeCore::831586522",Install reinforced battery cells to recover Power for a short time.,,
"OP_ST_InteractiveOptionDesc,OPI_Core_DamageWave::2107763949",Deals immense damage to enemies within the X-Boost Field.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Slinger_Buff2::804169777",Enemies flung into the air become Frozen. Stackable.,,
"OP_ST_InteractiveOptionDesc,OverLoad_Xen_Fire::3497714806",Fires Pyro Ammo for 15s.,,
"OP_ST_InteractiveOptionDesc,OverLoad_Xen_Energy::2608644115",Fires Electro Ammo for 15s.,,
"OP_ST_InteractiveOptionDesc,OverLoad_Missile::3502449754","Firing speed +400%, ammo cost -10, explosion area +45%. Lasts 15s.",,
"OP_ST_InteractiveOptionDesc,Build_Generator_ResToEnergy::1378667086",Converts 150 Resources into 15 Power.,,
"OP_ST_InteractiveOptionDesc,Build_CoreResToEnergy::3032782959",Converts 300 Resources into 30 Power.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Fence_Defend::491412476",Upgrades Stakewalls into small barriers with greatly increased HP.,,
"OP_ST_InteractiveOptionDesc,Build_SpawnMecha_Rush::696201341",Launches the Cataphract forward.,,
"OP_ST_InteractiveOptionDesc,BuildCore::3638998893",The Core will force the enemies to drop further away from you.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Battery_Energy::4277336749","Doubles ammo capacity and attack speed, and now provides illumination.",,
"OP_ST_InteractiveOptionDesc,OverLoad_Flame::3916774827","Current Attack +100%, firing range +50%, effective area +100%. Lasts 15s.",,
"OP_ST_InteractiveOptionDesc,OverLoad_Heavy02::2125536127","Current Attack +150%, firing speed +400%, no ammo cost. Lasts 15s.",,
"OP_ST_InteractiveOptionDesc,OverLoad_MachineGun::1760160018","Current Attack +300%, ammo cost +1, accuracy bloom -100%. Lasts 15s.",,
"OP_ST_InteractiveOptionDesc,OverLoad_CIWS::3102405344","Current Attack +500%, no ammo cost, accuracy bloom -100%. Lasts 15s.",,
"OP_ST_InteractiveOptionDesc,OverLoad_HellFlame::2555035463","Current Attack +600%, fires Pyro rounds, no ammo cost, accuracy bloom -100%. Lasts 15s.",,
"OP_ST_InteractiveOptionDesc,OverLoad_Heavy01::1388964868","Current Attack +75%, firing speed +400%. Lasts 15s.",,
"OP_ST_InteractiveOptionDesc,Build_HealPlayer::3671000269",Regenerates 100 HP.,,
"OP_ST_InteractiveOptionDesc,Build_Electric_Off::2491426625",Restore own ammunition and increase Core Output.,,
"OP_ST_InteractiveOptionDesc,Upgrade_MinningMachine_Energy::2124006118",Combat Miner can now replenish 5 Power.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Slinger_Buff4::3174771470",Increases the Attack of friendly units flung into the air.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Slinger_Buff1::28334624",Enemies flung into the air take increased damage. Stackable.,,
"OP_ST_InteractiveOptionDesc,Build_AmmoChest_Craft::1237066502","Consumes resources to create ammo crates.
Logistics are crucial for combat.",,
"OP_ST_InteractiveOptionDesc,Upgrade_Battery_Attack::3472993254",Doubles the range of electrocution and the damage now scales with Core Output.,,
"OP_ST_InteractiveOptionDesc,Build_Electric::2404334911","Electrocutes nearby enemies or provides Energy to Spikes in Electro Mode, boosting damage and range.",,
"OP_ST_InteractiveOptionDesc,Build_SpiderBuilder_SetRallyPoint::790465185","If a [Rally Point] has been placed, newly produced Guardians will attempt to move toward it.",,
"OP_ST_InteractiveOptionDesc,AI_AddArmor::733961838",Equip a heavy guard board to improve the defense's durability.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Slinger_Hidden::1779231119",Decreases Aggression and cannot be detected by AETOS.,,
"OP_ST_InteractiveOptionDesc,Upgrade_Slinger_Buff3::2417300719",Enemies flung into the air have their defense stripped.,,
"OP_ST_MainTain,Research_InProgress_Des3::3408418525",{day} days,,
"OP_ST_MainTain,Research_InProgress_Des4::170288878",To be complete in {day} days,,
"OP_ST_MainTain,BuildingPart_AutoReload_TipsDes::924320074",Use stocked ammo to reload,,
"OP_ST_MainTain,BuildingPart_AutoReload_TipsDes1::1096641021",Use stocked shells to reload,,
"OP_ST_MainTain,Research_ItemType_Name3::899928474",Modular Component,,
"OP_ST_MainTain,Research_InProgress_Des5::1613074445",To be added...,,
"OP_ST_MainTain,Research_ItemType_Name::477376806",Base Module,,
"OP_ST_MainTain,BuildingConfirm_Des::3558016035",Reload,,
"OP_ST_MainTain,Pause_EventType_Des::111068410",Buff,,
"OP_ST_MainTain,BuildingConfirm_Des2::2684079052",Autoloader not fully reloaded.,,
"OP_ST_MainTain,BuildingConfirm_Des3::836843677",High-equality gear not insured.,,
"OP_ST_MainTain,ClearItem_Des::3842566028",This will clear all eligible items excluding those inside containers and autoloaders!,,
"OP_ST_MainTain,ClearItem_Des1::3459036248",Only do this when there are performance issues!,,
"OP_ST_MainTain,Research_InProgress_Des1::3700782205",To be researched...,,
"OP_ST_MainTain,Mission_Title_Des::3706184026",Defeat {TargetWave} waves.,,
"OP_ST_MainTain,Research_ItemType_Name2::3692705732",Assault Component,,
"OP_ST_MainTain,Mission_Title_Des1::1388861946",Endless Defense - Wave {CurrentWave},,
"OP_ST_MainTain,Research_InProgress_Des6::282481460",Locked...,,
"OP_ST_MainTain,ClearItem_Btn_Des::3146859171",Clear,,
"OP_ST_MainTain,Research_InProgress_Des::1137516862",Researching...,,
"OP_ST_MainTain,Research_InProgress_Title::49131238",Research Queue,,
"OP_ST_MainTain,Research_ItemType_Name4::1905274550",Tech Upgrade,,
"OP_ST_MainTain,Research_ItemType_Name1::3324145299",Structural Component,,
"OP_ST_MainTain,Pause_EventType_Des1::1074521633",Debuff,,
"OP_ST_MainTain,Research_InProgress_Des2::2109626656",Go to Base Management,,
"OP_ST_MainTain,BuildingConfirm_Des1::2254343207",{count} more,,
"OP_ST_MainTain,Pause_EventType_Des2::1771687676",Risk,,
"OP_ST_RTS,RTSCommandItem_Stop::485309828",Stop/Guard,,
"OP_ST_RTS,RTSCommandItem_ShowOutpost::3409946970",Display Mode,,
"OP_ST_RTS,RTSCommandItem_Patrol::2992879025",Patrol,,
"OP_ST_RTS,RTSCommandItem_NoWeapon_Des::3851700797",Config,,
"OP_ST_RTS,RTSCommandItem_Attack::3765685945",Attack/Attack Move,,
"OP_ST_RTS,RTSCommandItem_NoWeapon_Des1::3283252937",No muzzle equipped on the selected building.,,
"OP_ST_RTS,RTSCommandItem_Move::824881739",Move/Follow,,
"OP_ST_RTS,RTSCommandItem_ContinuousDeploy::429580073",Deploy Multiple,,
"OP_ST_RTS,RTSCommandItem_ResetCamera::1931373692",Reset Camera,,
"OP_ST_UI,DunSmall01Hint06::64020476",Damn! I almost got killed because of the elevator! It took so long!,,
"OP_ST_UI,Building_ModeDes_2::1009545173",- Settings -,,
"OP_ST_UI,Building_ModeDes_1::1827903536",- Select Paint -,,
"OP_ST_UI,UnlockSingleTonItem_Des::840090271",- {ItemName} Obtained -,,
"OP_ST_UI,BlueprintIntelligence_Des1::3006702876",Explore the following areas to find blueprints.,,
"OP_ST_UI,Building_Solt_NoEnoughStable::4226534969",- Invalid,,
"OP_ST_UI,Building_Solt_NoEnoughElectricity::3085844715",- Insufficient power,,
"OP_ST_UI,Building_Solt_NoEnoughCount::1578475261",- Insufficient quantity,,
"OP_ST_UI,WorkExpSpace_WorkItem_NotHad::2622533618",-None,,
"OP_ST_UI,EnterStoryTipsContext_WithSpiderTankFail::1867131323",Outpost 11 is not equipped with a Guardian Fabricator.,,
"OP_ST_UI,Building_DefaultName::2810750560",Outpost 11,,
"OP_ST_UI,Play_Death_Reason::465774458",<DeadDes>You've been taken down by </>{Name}<DeadDes>.</>,,
"OP_ST_UI,BattleMessage_BossDrop::4195026369",The Boss has dropped something!,,
"OP_ST_UI,BattleMessage_BossDropFar::269241698",The Boss has dropped something! Our allies will collect it for us after the battle.,,
"OP_ST_UI,OutpostMode_HandlerG::1265078794",A merchant from G took the {partname},,
"OP_ST_UI,Common_Level::346801016",Lvl. {Number},,
"OP_ST_UI,CarryingHint_Q::843822100",[Q]: Put in backpack,,
"OP_ST_UI,ItemCrafting_Des1::3112454685",[Right click to check],,
"OP_ST_UI,Building_StateDes_2::1177493332",[Coating Mode],,
"OP_ST_UI,Building_StateDes_3::14803715",[Photo Mode],,
"OP_ST_UI,Play_Death_TIPs_1::1286592931",[Waiting for rescue or support from HQ],,
"OP_ST_UI,Building_StateDes_1::552744408",[Edit Mode],,
"OP_ST_UI,Building_StateDes_4::642806348",[Config],,
"OP_ST_UI,Outpost_HangerSkipSeq::1346092521",[ESC]  Skip,,
"OP_ST_UI,EndlessSelectMenu_Reject::1460103225",[N] REJECT,,
"OP_ST_UI,Infinity04::1695376637",[N] HOLD POSITION,,
"OP_ST_UI,SharingItem_Btn_Des::2016261147",[N] Reject,,
"OP_ST_UI,Infinity05::400605945",[Y] CALL EVAC,,
"OP_ST_UI,EndlessSelectMenu_Accept::156222309",[Y] ACCEPT,,
"OP_ST_UI,SharingItem_Btn_Des1::869817318",[Y] Accept,,
"OP_ST_UI,Play_Catalyst_ChangeCatalyst::892948116",[Switch XEN],,
"OP_ST_UI,Play_Catalyst_ChangeField::1735282802",[Switch Slot],,
"OP_ST_UI,Mission_Title::693904310",[Main Mission],,
"OP_ST_UI,Building_CurrentSlot::3778015567",[Current],,
"OP_ST_UI,Sandbox_TempWareHouse_TotalWorth::1362791881",[Field Storage Value]:,,
"OP_ST_UI,SaveView_LastSelect::2321027281",[Most Recent],,
"OP_ST_UI,Play_Catalyst_Injection::1319125702",[Imbue],,
"OP_ST_UI,PauseMeun_Des4::2121406953",[Warning] Clearing all dropped objects.,,
"OP_ST_UI,TipsCommon_Des02::2122275219",x{num} for,,
"OP_ST_UI,BlueprintCheck_Context_HaveBlueprint::2963174454",{Count} Research Blueprint(s) left in {AreaName}.,,
"OP_ST_UI,BlueprintCheck_Context_NoBlueprint::1870092460",No more Research Blueprints in {AreaName}.,,
"OP_ST_UI,Play_share_3::3264420978",{Givenplayer} shared {Item} with {TargetPlayer}.,,
"OP_ST_UI,ComminucationServerComponent_NobodyWantIt::1778770563",Nobody wants {Item},,
"OP_ST_UI,Building_Demonstration_Info01::2449585154",{Name}'s base - Area 1,,
"OP_ST_UI,Play_share_1::3517195057",{PlaerName} is sharing an item.,,
"OP_ST_UI,MissileMotor_Launch::4179010005",{Player Name} used a homing missile.,,
"OP_ST_UI,HealthCannon_UseHealthCannon::344130055",{Player Name} used a healing bomb.,,
"OP_ST_UI,Play_CraftAmmo_Tips::2313769290",{Player Name} crafted an Ammo Box.,,
"OP_ST_UI,Play_Find_Energy::2336998040",{Player Name} found a battery box. Power + {3}{4},,
"OP_ST_UI,Play_OpenAirDrop_1::2487739813",{Player Name} opened a supply drop.,,
"OP_ST_UI,SpiderTankBuilder_DeployTanks::39755615",{Player Name} deployed a Mech Buddy,,
"OP_ST_UI,Play_Death_Tip::2780037497",{Player name} was taken out by {name}!,,
"OP_ST_UI,Play_Share_7::504203365",{PlayerName} shared {Item Name} with you.,,
"OP_ST_UI,IndicatorPanel_PlayerLogout::2011044363",{PlayerName} has left the game,,
"OP_ST_UI,IndicatorPanel_PlayerLogin::1357908374",{PlayerName} has entered the game,,
"OP_ST_UI,Player_DropHint::4182259135",{Player} dropped {ItemName}.,,
"OP_ST_UI,Play_TIps_SKill_NotReady::4062011439",{SkillName}: Not ready yet,,
"OP_ST_UI,Play_TIps_SKill_InsufficientEN::2865981325",{SkillName}: Insufficient energy,,
"OP_ST_UI,DizzyLaunch_MainText::947816587",{Target} was knocked over by {Insigator}.,,
"OP_ST_UI,VSA_VSAFountHint::1163796587",{VSAName} has been spotted by {Player Name}.,,
"OP_ST_UI,NuclearMissile_Launch::578608310",{player name} launched a tactical nuke.,,
"OP_ST_UI,Play_share_2::3154850378",{player name} is sharing {item name}.,,
"OP_ST_UI,EquipBaseActor_PickOthersItem::2765530727",{player1} picked up {player2}'s {item}.,,
"OP_ST_UI,BattleMessage_ItemDrop::179999000",{player} dropped [{Item}]!,,
"OP_ST_UI,Sandbox_QuickPass::1380345830",[{name}] {quikpass} rewards added to [Field Storage].,,
"OP_ST_UI,PauseMenu_Wheel::2832209292",Toggle Interact Options - [Wheel],,
"OP_ST_UI,DayDescription::1646965024","Under [Outpost Mode], every location explored will advance the day by 1.",,
"OP_ST_UI,PauseMenu_WheelPress::3832773649",Ping - [MMB],,
"OP_ST_UI,Sandbox_KeySpace_Des::3056247507",[Space] Reset camera,,
"OP_ST_UI,Mission_AllMissionDone::1038194501",[Endgame],,
"OP_ST_UI,SupplyContrainer1_DropHint::912986947",There's a supply drop nearby.,,
"OP_ST_UI,RecoverSelect2::2280778035","Once confirmed, items in the Field Storage will be removed after the operation starts.",,
"OP_ST_UI,Building_Unusure_Des::2459255667",Delete All,,
"OP_ST_UI,Button_BuyAllInsurance::1673954776",Quick insure,,
"OP_ST_UI,CommonButton_Next::801550652",Next,,
"OP_ST_UI,Infinity06::1133594658",After the next round of attack:,,
"OP_ST_UI,CommonTipBtn_Disagree::4027030722",Don't agree,,
"OP_ST_UI,NotCanEmpty::845634702",Cannot be blank.,,
"OP_ST_UI,StoreItem_LostInfo::2721449849",Lost in {location} ({round}),,
"OP_ST_UI,Play_Discard::3205526021",Discard,,
"OP_ST_UI,Turret_Discard::3205526021",Discard,,
"OP_ST_UI,Battle_GiveUpTurret::2298466829",Discard Muzzle,,
"OP_ST_UI,Play_Tips_CoreWarning::4028650521",The Core Tower is under attack!,,
"OP_ST_UI,Weather_ModerateRain::4180675423",Rainy,,
"OP_ST_UI,Weather_ModerateSnow::1396294612",Snowy,,
"OP_ST_UI,SandBoxNode_Type2::1976450821",Mid-risk,,
"OP_ST_UI,ModeMenu_TemporaryWarehouse::827875996",Field Storage,,
"OP_ST_UI,StorageName_Outpost::827875996",Field Storage,,
"OP_ST_UI,SIO_ThrowMinigame03_ChargeHintCore::999251914",Charge a Core Tower to gain {num} Power.,,
"OP_ST_UI,RogueAbility_4::3841191404",Active Skill,,
"OP_ST_UI,PauseMenu_Panel_EventDes::2790170992",Incidents,,
"OP_ST_UI,SandBoxInGame_EventActivating::2196163553",Incident Activated ,,
"OP_ST_UI,Sandbox_Enter_Btn_Des::211562283",Go with Negative Power,,
"OP_ST_UI,FirstLevel_Sub2::463031488",Outpost 5,,
"OP_ST_UI,Quest_NPC::2606364213",Give Item,,
"OP_ST_UI,SurePurchase_DoneTitle::2108618479",Transaction Complete,,
"OP_ST_UI,Play_NPC_Interact::1921708592",Talk,,
"OP_ST_UI,CatalystMachine_Des::2578497670",Product:,,
"OP_ST_UI,ServerRoom_TeamNum::319009397",Head Count,,
"OP_ST_UI,SortTypeTips_RecoveryDayOnly::3556679337",Recovery day only,,
"OP_ST_UI,SortTypeTips_FriendsOnly::2034403917",Friends only,,
"OP_ST_UI,Setting_Game_OnlyHitType::3729494818",Damage Type Only,,
"OP_ST_UI,Setting_Game_OnlyElementType::1787492581",Element Only,,
"OP_ST_UI,ClearItem_White::149015277",Basic only,,
"OP_ST_UI,SortTypeTips_LanguageLimit::3288755491",Same language only,,
"OP_ST_UI,OnlyFriend::2157862549",Only Friends,,
"OP_ST_UI,CommonTipBtn_StillGo::4163477449",Go anyway,,
"OP_ST_UI,OutpostMode_EnvoysEnergeCan::1986603359",Envoy Battery Compartment,,
"OP_ST_UI,Building_Sort_Wortch::3626985543",By Value,,
"OP_ST_UI,Storage_Class_Mission::1241013743",Mission,,
"OP_ST_UI,DispatchNode_MissionDone::4026442902",Mission Complete,,
"OP_ST_UI,Play_Retreat_Notice::4027116568",Mission complete. Moving to next site.,,
"OP_ST_UI,Enemy_Anticipate_Rest::583253151",Break,,
"OP_ST_UI,ClearItem_Orange::4289395355",Legendary and below,,
"OP_ST_UI,Play_DangerLevel_2::558447343",Low,,
"OP_ST_UI,SandBoxNode_Type1::3951844925",Low-risk,,
"OP_ST_UI,Common_You::1638195938",You,,
"OP_ST_UI,SurePurchase_Message::2142259856",You have obtained [{name}] x{count},,
"OP_ST_UI,Play_CleanWater_1::3776922334",You feel relieved of fatigue.,,
"OP_ST_UI,Play_Share_6::1495151902",You shared {Item Name} with {PlayerName}.,,
"OP_ST_UI,RecruitSucess_NewMember::1412471376",You recruited a new member!,,
"OP_ST_UI,CharacterSystem_SelectHint04::2758659024",[{name} Lvl. {lv}] will join the next battle.,,
"OP_ST_UI,CharacterSystem_RetireHint02::1632550935",Your Operative [{name} Lvl. {lv}] has been honorably discharged. You have received {Price} gold.,,
"OP_ST_UI,CharacterSystem_RetireHint01::2477943948", [{name} Lvl. {lv}] can't retire before you remove their gear and empty their pack.,,
"OP_ST_UI,PuzzleMonster_Drone01::2711500119",You've been spotted! Release the drones!,,
"OP_ST_UI,CharacterSystem_CannotBattle::1526247308",This operative can't fight.,,
"OP_ST_UI,Play_Consume::2511172783",Use,,
"OP_ST_UI,SelectCharacter_BaseCharacterhint02::456647925",Use operatives from your barracks to start exploration.,,
"OP_ST_UI,PauseMenu_G::2990295929",Quick Slot Item [G],,
"OP_ST_UI,CharacterSystem_LocalCharact::1684700960",Use Random Operative,,
"OP_ST_UI,Building_TipsDes_2::376178039",Power Outage,,
"OP_ST_UI,Common_Save::606691112",Save,,
"OP_ST_UI,Building_Save_Fail::2346545471",Failed to save [{Slot}],,
"OP_ST_UI,Building_Save_Success::3766435500",[{Slot}] saved!,,
"OP_ST_UI,Building_Save_FailTitle::266717878",Failed to Save,,
"OP_ST_UI,BuildingEditor_SaveAndExit::1747562352",Save and Exit,,
"OP_ST_UI,RoundConfirm_SaveConfig::2292097560",Save Config,,
"OP_ST_UI,Building_Save_SuccessTitle::1682408741",Save Successful,,
"OP_ST_UI,Play_Tips_CoreWarning_1::751187251",Protect the Core Tower!,,
"OP_ST_UI,Play_Repair::3493601352",Repair,,
"OP_ST_UI,Building_CancelAutoConvert::2072758181",Stop Auto-Conversion,,
"OP_ST_UI,SIO_ThrowMinigame02_ChargeHint01::2407133927",Charge Strength: {num},,
"OP_ST_UI,MiniPuzzle_EnergyScore::2291258355",Charge: {num},,
"OP_ST_UI,Exchange_BuildingMaterial::727934907",Materials,,
"OP_ST_UI,Exchange_Catalyst::4157392974",XEN,,
"OP_ST_UI,Exchange_Equipment::3350392724",Gear,,
"OP_ST_UI,Common_All::223762243",All,,
"OP_ST_UI,Storage_class_equipment_ALL::223762243",All,,
"OP_ST_UI,UI_Tab_All::223762243",All,,
"OP_ST_UI,RecoverDay_RecoverAll::776635326",Take All,,
"OP_ST_UI,MemberTips_AllAbility::3266802650",All Abilities:,,
"OP_ST_UI,Building_AllParts::1626424156",All,,
"OP_ST_UI,RoomOpen::2416915",Public,,
"OP_ST_UI,ConvertResource_Shut::335358260",Close,,
"OP_ST_UI,EventIllustrated_Des2::792701846",Level,,
"OP_ST_UI,Play_CloseDoor::709671125",Close,,
"OP_ST_UI,Play_Close::496126183",Close,,
"OP_ST_UI,Setting_Game_OffType::4019871742",Off,,
"OP_ST_UI,Common_ExitGame::3449576476",Quit Game,,
"OP_ST_UI,Play_DeactivateTurret::644017692",Deactivate,,
"OP_ST_UI,Play_CannonAuto(Off)::2469984286",Disable Auto-Fire,,
"OP_ST_UI,LandingShip_CloseDoor::3991967616",Close,,
"OP_ST_UI,EventIllustrated_Other::4085572594",others,,
"OP_ST_UI,UI_Tab_Other::4085572594",Others,,
"OP_ST_UI,Storage_Class_Others::364543481",Other,,
"OP_ST_UI,Play_MissileMotor_Ice::2859539169",Frost Missile,,
"OP_ST_UI,Common_Hint_Cooldown::3504918409",On Cooldown,,
"OP_ST_UI,MonsterStateBar_Frozen::4118327392",Frozen,,
"OP_ST_UI,HitPoint_Reduced::395352677",Reduced,,
"OP_ST_UI,Common_Sell::2763063742",Sell,,
"OP_ST_UI,WareHouse_QuickSell_Des::3576938902",Unable to Sell,,
"OP_ST_UI,CharacterSystem_SelectHint02::796265709",Failed to deploy,,
"OP_ST_UI,CharacterSystem_SelectHint03::1154761598",Deployed,,
"OP_ST_UI,RoundConfirm_TourAgent::3805472021",Operative,,
"OP_ST_UI,ExpAddition_Kill::2483925230",Kill,,
"OP_ST_UI,Decompose_Title::2598618309",DISMANTLE,,
"OP_ST_UI,Play_share::4150857918",Share,,
"OP_ST_UI,Play_Decompose::1026154665",Dismantle,,
"OP_ST_UI,Play_Decompose_TotalPrice::3747723279",Total value after dismantling: {Price},,
"OP_ST_UI,Play_DecomposeItem::3146111117",Dismantle,,
"OP_ST_UI,Play_MissileMotor_Res::2413899715",Decomposition Missile,,
"OP_ST_UI,Main_menu_buttton_SwitchSaveSlot::4064572262",SAVE FILES,,
"OP_ST_UI,Building_Cannon_ChangeState::3758910161",Switch Firing Mode,,
"OP_ST_UI,Building_Editor_ChangeCamera::795753908",Horizontal/Free Camera,,
"OP_ST_UI,Building_Editor_Perspective::3054427867",See-Through Mode,,
"OP_ST_UI,Network_CreateSessionFailed::2100060174",Failed to create a lobby.,,
"OP_ST_UI,DeleteSaveData::254516896",Delete Save,,
"OP_ST_UI,Building_Delet01::2528639351",Delete,,
"OP_ST_UI,Building_DeleteParts::2711201970",Remove Component,,
"OP_ST_UI,Play_Craft::1758922730",Craft,,
"OP_ST_UI,CraftList_Crafting::948241758",Crafting,,
"OP_ST_UI,Play_Core_Alloy::3631240085",Craft Alloy,,
"OP_ST_UI,Play_CraftAmmo::3687144401",Craft,,
"OP_ST_UI,CommonItemCrafting_CraftDone::4268076958",Crafted,,
"OP_ST_UI,Play_CraftCatalyst::1402417103",Craft,,
"OP_ST_UI,Play_CraftBoom::459921589",Craft,,
"OP_ST_UI,Play_CraftFood::112037897",Craft,,
"OP_ST_UI,Play_CraftDrink::244926012",Craft,,
"OP_ST_UI,Play_CraftEquipment::3725514781",Craft,,
"OP_ST_UI,Play_BuildDefender::3322875861",Craft Guardian,,
"OP_ST_UI,Shop_Refresh::2550211636",Refresh,,
"OP_ST_UI,Enemy_Anticipate_Reflesh::2489644234",Refresh Intel,,
"OP_ST_UI,SandBox_EnterNode::1690164477",PROCEED,,
"OP_ST_UI,GameplayType_OutpostMode::3069352968",Tour Mode,,
"OP_ST_UI,EventIllustrated_Outpost::462298992",Outpost,,
"OP_ST_UI,OutpostWorth::1555368763",Outpost Value,,
"OP_ST_UI,OutpostWorth_Title::1885899625",Value: ,,
"OP_ST_UI,QuickAction_Building::2974120969",Outpost Skill,,
"OP_ST_UI,Building_Demostration_Info02::1644538290",Hangar,,
"OP_ST_UI,GameplayType_TeamOutpostMode::1324841309",Tour Mode,,
"OP_ST_UI,OutpostMode_Status::4033594242",Outpost Status,,
"OP_ST_UI,Building_NoElectricRecoverHint1::392522407",Outpost has negative power. Operations would be extremely dangerous and it is highly recommended to replace the components.,,
"OP_ST_UI,Hint_Emp_Attack::3533728141",The Outpost has been attacked by EMP and some functions have been offline. Remove the generator immediately!,,
"OP_ST_UI,OutpostMode_ToThisArea::1460590689",Proceed,,
"OP_ST_UI,LevelEvent_FrontlineLost::1785313813",Frontlines breached! Enemy siege imminent!,,
"OP_ST_UI,Dispatch_LeftTime::1073114603",{time}d remaining,,
"OP_ST_UI,Play_Retreat_Countdown::2029665773",Evac time left:,,
"OP_ST_UI,CraftList_TimeLeft::182541846",Remaining: {2}s,,
"OP_ST_UI,Building_FunctionalParts::899928474",Modular,,
"OP_ST_UI,OutpostInfo_FunctionalPart::899928474",Modular Components,,
